Nazwa,Kurs(PLN),Zmiana(%),Otwarcie,Min,Max,Obrot(szt),Obrot(PLN)
Polski Bank Komórek Macierzystych SA,62.20,+0.32,62.40,62.00,62.40,456,28343
Polwax SA,3.28,-0.61,3.37,3.28,3.37,1662,5517
Pozbud T&R SA,2.09,-0.95,2.14,2.08,2.14,17587,36796
Pragma Faktoring SA,11.80,0.00,11.80,11.80,11.80,10,118
Pragma Inkaso SA,6.98,0.00,6.98,6.98,6.98,84,586
Prairie Mining Ltd.,0.73,+2.82,0.71,0.69,0.73,109622,78016
Prima Moda SA,0.50,-18.03,0.58,0.50,0.58,4401,2209
Primetech SA,1.45,-0.14,1.45,1.45,1.45,28,40
Private Equity Managers SA,12.80,-3.76,13.05,12.80,13.05,1526,19582
Procad SA,0.97,+5.64,0.97,0.97,0.97,699,681
Prochem SA,16.95,+1.50,17.20,16.50,17.20,535,8850
Projprzem Makrum SA,15.60,0.00,15.60,15.60,15.60,200,3120
Protektor SA,3.66,0.00,3.66,3.66,3.66,2,7
Puławy SA,90.00,-2.17,93.00,90.00,93.00,237,21628
PZ Cormay SA,1.00,+2.46,0.97,0.97,1.05,210260,213602
PZU SA,37.87,+0.58,37.43,37.43,38.11,1084806,41043828
Quantum Software SA,15.50,0.00,15.50,15.50,15.50,150,2325
Quercus TFI SA,2.25,+1.81,2.21,2.18,2.25,30242,67313
R22 SA,19.55,-0.76,19.70,19.55,19.70,59,1156
Radpol SA,1.14,-1.72,1.16,1.14,1.16,9186,10523
Rafako SA,1.14,-2.40,1.19,1.14,1.19,818594,952091
Rafamet SA,11.50,0.00,11.50,11.50,11.50,8,92
Rainbow Tours SA,25.30,-0.39,25.10,25.10,25.40,179,4524
Rank Progress SA,1.35,+16.81,1.21,1.17,1.40,61997,81746
Rawlplug SA,9.26,+1.54,9.26,9.26,9.26,2,19
Redan SA,0.26,-2.26,0.26,0.26,0.26,2,1
Reinhold Europe AB,0.17,-0.60,0.17,0.17,0.17,25,4
Reino Capital SA,1.70,0.00,1.70,1.70,1.70,10,17
Relpol SA,5.70,-1.72,5.95,5.70,5.95,6285,36027
Remak-Energomontaż SA,10.40,+9.01,9.54,9.54,10.40,2882,29146
Resbud SE,0.35,0.00,0.35,0.35,0.35,12237,4283
Ronson Development SE,0.84,+1.82,0.85,0.84,0.85,9455,7942
Rubicon Partners SA,0.97,0.00,0.97,0.91,0.97,49,47
Sadovaya Group SA,0.12,—,—,—,—,—,—
Sanok Rubber Company SA,20.70,-0.48,21.00,20.60,21.20,626,13093
Santander Bank Polska SA,318.20,+0.76,315.20,314.00,319.80,44445,14099058
Sanwil SA,0.57,0.00,0.57,0.57,0.57,167,95
Sare SA,4.44,+0.91,4.44,4.44,4.44,1790,7948
Satis Group SA w restrukturyzacji,1.32,—,—,—,—,—,—
Sco-Pak SA,0.08,0.00,0.08,0.08,0.08,4,0
Seco/Warwick SA,15.20,-0.65,15.20,15.20,15.20,10,152
Seko SA,8.65,-1.14,8.65,8.65,8.65,80,692
Selena FM SA,11.10,+0.91,11.10,11.10,11.10,2,22
Selvita SA,60.00,0.00,60.40,59.60,60.40,463,27640
Serinus Energy Inc.,0.57,-0.86,0.58,0.56,0.59,492641,283555
Sescom SA,27.20,0.00,27.20,27.20,27.20,17,462
Setanta SA,3.64,+1.11,3.60,3.30,3.66,23282,80618
Sfinks SA,0.78,—,—,—,—,—,—
Silvano Group AS,9.66,—,—,—,—,—,—
Simple SA,6.45,+4.03,6.45,6.45,6.45,2,13
Skarbiec Holding SA,18.00,+3.45,18.00,17.65,18.90,20422,372535
Skotan SA,1.03,-7.21,1.10,1.03,1.13,13694,14547
Skyline Investment SA,0.64,—,—,—,—,—,—
Sleepz AG,0.82,0.00,0.82,0.82,0.82,20,17
Soho Development SA,0.64,-0.63,0.68,0.64,0.68,32835,22328
Solar Company SA,0.52,-3.70,0.52,0.51,0.52,4929,2533
Sonel SA,8.75,-0.57,8.55,8.55,8.75,200,1721
Sopharma AD,10.00,0.00,10.00,10.00,10.00,27,270
Stalexport Autostrady SA,3.24,-0.31,3.25,3.23,3.25,53075,172364
Stalprodukt SA,226.00,-0.66,228.50,223.00,229.00,1037,234255
Stalprofil SA,7.30,+1.39,7.20,7.20,7.30,310,2247
Starhedge SA,0.61,-0.81,0.62,0.61,0.62,3200,1983
Stelmet SA,8.10,-3.57,8.10,8.10,8.10,38830,314523
Sunex SA,6.88,+5.52,6.66,6.50,6.90,10721,72749
Suwary SA,11.80,-0.84,11.80,11.80,11.80,5,59
Swissmed Centrum Zdrowia SA,2.49,+5.51,2.38,2.38,2.65,29119,73224
Sygnity SA,2.75,+8.27,2.60,2.60,2.76,29866,79688
Synektik SA,14.40,+3.60,14.40,13.94,14.40,360,5028
T-Bull SA,22.10,-0.90,22.70,21.80,22.70,2078,45864
Talanx AG,158.80,—,—,—,—,—,—
Talex SA,14.40,0.00,14.40,14.40,14.40,80,1152
Tarczyński SA,15.20,—,—,—,—,—,—
Tatry Mountain Resorts a.s.,146.00,-0.68,146.00,146.00,146.00,9,1314
Tauron Polska Energia SA,1.65,+3.13,1.60,1.60,1.65,4058712,6658800
Ten Square Games SA,135.40,-1.46,137.00,134.00,137.00,5719,772711
Termo-Rex SA,0.83,-0.24,0.82,0.82,0.83,1087,893
Tesgas SA,2.44,-1.61,2.48,2.44,2.48,199,486
TIM SA,8.38,-4.77,8.70,8.06,8.70,8053,67297
Torpol SA,7.44,+1.64,7.36,7.30,7.44,13535,100052
Tower Investments SA,21.80,-3.96,21.80,21.80,21.80,350,7630
Toya SA,4.52,+0.89,4.48,4.48,4.56,5340,24322
Trakcja PRKiI SA,2.07,+0.49,2.09,1.98,2.12,158913,325390
Trans Polonia SA,2.97,-4.81,3.13,2.97,3.13,1005,2986
Triton Development SA,1.81,+1.12,1.75,1.74,1.81,3578,6266
TXM SA w restrukturyzacji,0.09,—,—,—,—,—,—
Ulma SA,51.50,0.00,51.50,50.00,51.50,44,2223
Ultimate Games SA,20.40,-0.97,20.45,19.86,21.25,39154,808506
Unibep SA,6.08,+1.00,6.04,5.96,6.08,3121,18724
UniCredit SpA,50.00,+4.60,47.80,47.80,50.00,88,4302
Unima 2000 SA,2.34,0.00,2.34,2.34,2.34,1150,2691
